縣市	行政區	村里	圖號坐標	型式		
臺東縣	大武鄉	尚武村	T8445FC87	水泥桿		
臺東縣	大武鄉	尚武村	T8445GC08	水泥桿		
臺東縣	大武鄉	尚武村	T8445GD30	水泥桿		
臺東縣	大武鄉	尚武村	T8445GD62	水泥桿		
臺東縣	大武鄉	尚武村	T8445GD93	水泥併桿		
臺東縣	大武鄉	尚武村	T8445HD15	水泥桿		
臺東縣	大武鄉	大武村	T8445HD37	水泥桿		
臺東縣	大武鄉	尚武村	T8444BB88	水泥桿		
臺東縣	大武鄉	大武村	T8445HD78	水泥桿		
臺東縣	大武鄉	大武村	T8445HD77	水泥桿		
臺東縣	大武鄉	大武村	T8545AD18	水泥併桿		
臺東縣	大武鄉	大武村	T8545AD49	水泥併桿		
臺東縣	大武鄉	大武村	T8545AE72	水泥桿		
臺東縣	大武鄉	大武村	T8545BE24	水泥桿		
臺東縣	大武鄉	大武村	T8546BA60	水泥桿		
臺東縣	大武鄉	大武村	T8546BA93	水泥桿		
臺東縣	大武鄉	大武村	T8546CA25	水泥桿		
臺東縣	大武鄉	大武村	T8546CA58	水泥桿		
臺東縣	大武鄉	大武村	T8546CA88	水泥桿		
臺東縣	大武鄉	尚武村	T8444CC01	水泥桿		
臺東縣	大武鄉	大武村	T8546DA28	水泥併桿		
臺東縣	大武鄉	大武村	T8546DA68	水泥併桿		
臺東縣	大武鄉	大武村	T8546EB01	水泥桿		
臺東縣	大武鄉	大武村	T8546EB32	水泥桿		
臺東縣	大武鄉	大武村	T8546EB64	水泥桿		
臺東縣	大武鄉	大武村	T8546EB94	水泥桿		
臺東縣	大武鄉	大武村	T8546FB34	水泥桿		
臺東縣	大武鄉	大武村	T8546FB74	水泥併桿		
臺東縣	大武鄉	大武村	T8546GB14	水泥併桿		
臺東縣	大武鄉	大武村	T8546GB55	水泥桿		
臺東縣	大武鄉	尚武村	T8444CC33	水泥併桿		
臺東縣	大武鄉	大武村	T8546GB85	水泥桿		
臺東縣	大武鄉	大武村	T8546HB15	水泥桿		
臺東縣	大武鄉	大武村	T8546HB44	水泥桿		
臺東縣	大武鄉	大武村	T8546HB83	水泥桿		
臺東縣	大武鄉	大武村	T8646AB20	水泥桿		
臺東縣	大武鄉	大武村	T8646AA58	水泥桿		
臺東縣	大武鄉	大武村	T8646AA87	水泥桿		
臺東縣	大武鄉	大武村	T8646AA86	水泥桿		
臺東縣	大武鄉	大武村	T8646BA16	水泥桿		
臺東縣	大武鄉	大武村	T8646BA36	水泥桿		
臺東縣	大武鄉	大武村	T8646BA35	水泥桿		
臺東縣	大武鄉	尚武村	T8444CC75	水泥桿		
臺東縣	大武鄉	大武村	T8646BA77	水泥桿		
臺東縣	大武鄉	大武村	T8646CA17	水泥桿		
臺東縣	大武鄉	尚武村	T8444DC08	水泥桿		
臺東縣	大武鄉	尚武村	T8444DC20	水泥桿		
臺東縣	大武鄉	尚武村	T8444DD42	水泥桿		
臺東縣	東河鄉	隆昌村	R3475DA48	水泥桿		
臺東縣	東河鄉	東河村	R3780AE26	水泥桿		
臺東縣	東河鄉	東河村	R3780AE59	水泥桿		
臺東縣	東河鄉	東河村	R3781AA82	水泥桿		
臺東縣	東河鄉	東河村	R3781BA14	水泥桿		
臺東縣	東河鄉	東河村	R3781BA47	水泥併桿		
臺東縣	東河鄉	東河村	R3781BB80	水泥桿		
臺東縣	東河鄉	東河村	R3781CB12	水泥桿		
臺東縣	東河鄉	東河村	R3781CB4408	水泥桿		
臺東縣	東河鄉	東河村	R3781CB66	水泥桿		
臺東縣	東河鄉	東河村	R3781DC01	水泥桿		
