縣市	行政區	村里	圖號坐標	型式		
新北市	貢寮區	吉林里	C0929FC93	水泥桿		
新北市	貢寮區	吉林里	C0929FC54	水泥桿		
新北市	貢寮區	吉林里	C0929FC05	水泥桿		
新北市	貢寮區	吉林里	C1029DC91	水泥桿		
新北市	貢寮區	吉林里	C1029DB49	水泥桿		
新北市	貢寮區	吉林里	C1029CB98	水泥桿		
新北市	貢寮區	吉林里	C1029CB56	水泥桿		
新北市	貢寮區	吉林里	C1029CB07	水泥桿		
新北市	貢寮區	吉林里	C1029BB56	水泥併桿		
新北市	貢寮區	吉林里	C1029BB14	水泥桿		
新北市	貢寮區	吉林里	C1029AB74	水泥桿		
基隆市	七堵區	友二里	B8160DB20	水泥桿		
基隆市	七堵區	友二里	B8060HA16	水泥桿		
基隆市	七堵區	友二里	B8060GB41	水泥桿		
基隆市	七堵區	友二里	B8060FB97	水泥桿		
基隆市	七堵區	友二里	B8060FC54	水泥桿		
基隆市	七堵區	友二里	B8060FC29	水泥桿		
基隆市	七堵區	友二里	B8060ED82	水泥併桿		
基隆市	七堵區	友二里	B8060ED87	水泥桿		
基隆市	七堵區	友二里	B8060EE70	水泥桿		
基隆市	七堵區	友二里	B8060EE55	水泥桿		
基隆市	七堵區	友二里	B8060EE54	水泥桿		
基隆市	七堵區	友二里	B8060EE34	水泥桿		
基隆市	七堵區	友二里	B8060DE93	水泥桿		
基隆市	七堵區	友二里	B8060DE80	水泥桿		
基隆市	七堵區	友二里	B8060EE57	水泥桿		
基隆市	七堵區	友二里	B8160CB72	水泥桿		
基隆市	七堵區	友二里	B8060DE7877	水泥桿		
基隆市	七堵區	友二里	B8061DA35	水泥桿		
基隆市	七堵區	友二里	B8061DA19	水泥桿		
基隆市	七堵區	友二里	B8061CB93	水泥桿		
基隆市	七堵區	友二里	B8061CB58	水泥桿		
基隆市	七堵區	友二里	B8061CC20	水泥桿		
基隆市	七堵區	友二里	B8061CC14	水泥桿		
基隆市	七堵區	友二里	B8061CC35	水泥桿		
基隆市	七堵區	友二里	B8061CC16	水泥桿		
基隆市	七堵區	友二里	B8061BC67	水泥桿		
基隆市	七堵區	友二里	B8061BC09	水泥桿		
基隆市	七堵區	友二里	B8061AD50	水泥桿		
基隆市	七堵區	友二里	B8061AC38	水泥併桿		
基隆市	七堵區	友二里	B8061AC45	水泥桿		
