縣市	行政區	村里	圖號坐標	型式		
金門縣	烈嶼鄉	上林村	Z9052FD38	水泥桿		
金門縣	烈嶼鄉	上林村	Z9052ED88	水泥桿		
金門縣	烈嶼鄉	上林村	Z9052ED48	水泥桿		
金門縣	烈嶼鄉	上林村	Z9052DD99	水泥桿		
金門縣	烈嶼鄉	上林村	Z9052DD49	水泥桿		
金門縣	烈嶼鄉	上林村	Z9052CD88	水泥桿		
金門縣	烈嶼鄉	上林村	Z9052CD76	水泥桿		
金門縣	烈嶼鄉	上林村	Z9052CD25	水泥桿		
金門縣	烈嶼鄉	上林村	Z9052BD84	水泥桿		
金門縣	烈嶼鄉	上林村	Z9052BD24	水泥桿		
金門縣	烈嶼鄉	上林村	Z9152BD06	水泥桿		
金門縣	烈嶼鄉	上林村	Z9052AD83	水泥桿		
金門縣	烈嶼鄉	上林村	Z9052AD42	水泥桿		
金門縣	烈嶼鄉	上林村	Z9052AD12	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952HD71	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952HD50	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952HC48	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952HC15	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952GC82	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952GC60	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952GB17	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952HD66	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952GD75	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952HD49	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952HE14	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952HE07	水泥桿		
金門縣	烈嶼鄉	上林村	Z8953GA80	水泥桿		
金門縣	烈嶼鄉	上林村	Z8953GA73	水泥桿		
金門縣	烈嶼鄉	上林村	Z8953GA57	水泥桿		
金門縣	烈嶼鄉	上林村	Z8953GB50	水泥桿		
金門縣	烈嶼鄉	上林村	Z8953GB84	水泥桿		
金門縣	烈嶼鄉	上林村	Z8953HB18	水泥桿		
金門縣	烈嶼鄉	上林村	Z8953HC51	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952GE90	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952GD88	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952GD56	水泥桿		
金門縣	烈嶼鄉	上林村	Z9152AD47	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952GD19	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952FE80	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952FD69	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952FD58	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952FE12	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952EE74	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952EE17	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952DE70	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952DE52	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952DD85	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952ED01	水泥桿		
金門縣	烈嶼鄉	上林村	Z9152AD07	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952EC17	水泥桿		
金門縣	烈嶼鄉	上林村	Z9052HD57	水泥桿		
金門縣	烈嶼鄉	上林村	Z9052HD38	水泥桿		
金門縣	烈嶼鄉	上林村	Z9053EB38	水泥桿		
金門縣	烈嶼鄉	上林村	Z9052GE92	水泥桿		
金門縣	烈嶼鄉	上林村	Z9052GE55	水泥桿		
金門縣	烈嶼鄉	上林村	Z9052GE39	水泥桿		
金門縣	烈嶼鄉	上林村	Z9053GA02	水泥桿		
金門縣	烈嶼鄉	上林村	Z9053FA76	水泥桿		
金門縣	烈嶼鄉	上林村	Z9053FA49	水泥桿		
金門縣	烈嶼鄉	上林村	Z9053FB12	水泥桿		
金門縣	烈嶼鄉	上林村	Z9053EB64	水泥桿		
金門縣	烈嶼鄉	上林村	Z9052HD07	水泥桿		
金門縣	烈嶼鄉	上林村	Z9052GD68	水泥桿		
金門縣	烈嶼鄉	上林村	Z9052GD18	水泥桿		
金門縣	烈嶼鄉	上林村	Z9052FD78	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952GD32	水泥桿		
金門縣	烈嶼鄉	上林村	Z8952GD20	木桿		
金門縣	烈嶼鄉	上林村	Z8952FC96	水泥桿		
金門縣	金城鎮	古城里	Z0046CD29	水泥桿		
金門縣	金城鎮	古城里	Z0046EB36	水泥桿		
金門縣	金城鎮	古城里	Z0046DC4344	水泥桿		
金門縣	金城鎮	古城里	Z0046DC07	水泥桿		
金門縣	金城鎮	古城里	Z0046CD72	水泥桿		
金門縣	金沙鎮	光前里	Z1563AC48	水泥桿		
金門縣	金沙鎮	光前里	Z1563AC68	水泥桿		
金門縣	金沙鎮	光前里	Z1563AD90	水泥桿		
金門縣	金沙鎮	光前里	Z1563BD01	水泥桿		
金門縣	金沙鎮	三山里	Z1563CB12	水泥桿		
金門縣	金沙鎮	光前里	Z1563DD28	水泥桿		
